timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752381538721,303,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,303,0,0
1752381539729,908,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7471,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,908,0,552
1752381541657,303,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,303,0,0
1752381542921,299,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8123,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,299,0,0
1752381543867,306,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,843,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,306,0,0
1752381544860,304,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,303,0,0
1752381545871,313,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,313,0,0
1752381546866,305,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5096,157,1,1,https://katalon-demo-cura.herokuapp.com/,305,0,0
1752381547908,300,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,300,0,0
1752381549072,306,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,847,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,306,0,0
1752381550192,318,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9086,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,318,0,0
1752381551141,310,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,309,0,0
1752381552091,301,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,301,0,0
1752381553322,313,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,312,0,0
1752381554538,314,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,843,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,314,0,0
1752381555840,326,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9090,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,326,0,0
1752381556926,324,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7467,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,324,0,0
1752381557794,300,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,300,0,0
1752381558723,300,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8123,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,300,0,0
1752381559590,307,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,847,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,307,0,0
1752381560791,308,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9086,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,308,0,0
1752381561716,309,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,308,0,0
1752381563026,302,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,302,0,0
1752381564202,299,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,299,0,0
1752381565506,305,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,855,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,305,0,0
1752381566457,376,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9086,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,376,0,0
1752381567480,315,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7459,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,315,0,0
1752381568520,303,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,303,0,0
1752381569359,305,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8123,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,305,0,0
1752381570385,304,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,843,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,304,0,0
1752381571243,312,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9078,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,312,0,0
1752381572314,312,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,312,0,0
1752381573379,299,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,298,0,0
1752381574392,316,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8135,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,316,0,0
1752381575309,304,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,304,0,0
1752381576131,313,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9094,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,313,0,0
1752381577096,313,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7467,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,312,0,0
1752381578044,308,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,308,0,0
1752381579030,309,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,309,0,0
1752381580209,307,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,859,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,307,0,0
1752381581092,305,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9086,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,305,0,0
1752381581946,321,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7462,1103,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,321,0,0
1752381583125,298,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5108,157,1,1,https://katalon-demo-cura.herokuapp.com/,298,0,0
1752381584182,299,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8123,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,298,0,0
1752381585257,315,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,843,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,315,0,0
1752381586124,302,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9090,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,302,0,0
1752381587426,311,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7462,1103,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,311,0,0
1752381588588,302,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5108,157,1,1,https://katalon-demo-cura.herokuapp.com/,302,0,0
1752381589564,772,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,772,0,0
1752381590984,302,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,302,0,0
1752381592099,381,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9094,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,381,0,0
1752381593198,692,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7467,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,692,0,0
1752381594776,348,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5096,157,1,1,https://katalon-demo-cura.herokuapp.com/,348,0,0
1752381596068,297,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,297,0,0
1752381597341,302,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,847,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,302,0,0
1752381598491,300,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9078,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,300,0,0
1752381599324,334,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7471,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,334,0,0
1752381600578,1360,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,1360,0,1067
1752381602631,294,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8135,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,294,0,0
1752381603869,315,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,315,0,0
1752381604956,296,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,296,0,0
1752381605995,300,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7471,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,300,0,0
1752381606882,294,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,294,0,0
1752381607953,298,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8123,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,298,0,0
1752381608978,306,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,847,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,306,0,0
1752381609880,296,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9078,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,296,0,0
1752381611016,306,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7462,1103,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,306,0,0
1752381612291,295,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,295,0,0
1752381613517,298,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,298,0,0
1752381614420,303,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,303,0,0
1752381615278,299,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9078,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,299,0,0
1752381616439,308,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7467,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,308,0,0
1752381617397,292,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5096,157,1,1,https://katalon-demo-cura.herokuapp.com/,292,0,0
1752381618253,295,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,295,0,0
1752381619360,295,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,847,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,295,0,0
1752381620439,338,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,338,0,0
1752381621473,301,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7462,1103,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,301,0,0
1752381622678,300,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5108,157,1,1,https://katalon-demo-cura.herokuapp.com/,300,0,0
1752381623551,297,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,297,0,0
1752381624709,299,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,299,0,0
1752381625957,298,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,298,0,0
1752381627138,302,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,302,0,0
1752381628238,327,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,327,0,0
1752381629575,310,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,310,0,0
1752381630691,301,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,301,0,0
1752381631917,304,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,304,0,0
1752381632912,304,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,304,0,0
1752381633908,299,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5096,157,1,1,https://katalon-demo-cura.herokuapp.com/,299,0,0
1752381635006,299,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,299,0,0
1752381636037,304,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,843,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,304,0,0
1752381637237,299,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,299,0,0
1752381638107,304,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7467,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,304,0,0
1752381639012,305,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,304,0,0
1752381640210,809,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,809,0,0
1752381641667,298,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,298,0,0
1752381642486,345,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,345,0,0
1752381643448,305,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7474,1103,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,305,0,0
1752381644547,295,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5108,157,1,1,https://katalon-demo-cura.herokuapp.com/,295,0,0
1752381645394,290,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,290,0,0
1752381646432,301,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,843,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,301,0,0
1752381647429,303,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9090,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,303,0,0
1752381648601,314,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,314,0,0
1752381649844,296,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,296,0,0
1752381650946,305,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,305,0,0
1752381652256,299,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,299,0,0
1752381653186,303,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9078,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,302,0,0
1752381654125,308,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7474,1103,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,308,0,0
1752381655095,295,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,295,0,0
1752381656228,303,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,303,0,0
1752381657326,305,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,855,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,305,0,0
1752381658395,308,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9086,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,308,0,0
1752381659635,349,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7459,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,348,0,0
1752381660690,1651,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,1650,0,1346
1752381662926,300,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,300,0,0
1752381664077,303,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,855,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,303,0,0
1752381665243,300,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9078,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,300,0,0
1752381666519,314,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7459,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,314,0,0
1752381667807,299,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,299,0,0
1752381668889,302,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,302,0,0
1752381669775,301,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,301,0,0
1752381671036,313,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9078,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,312,0,0
1752381672038,312,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,312,0,0
1752381673350,304,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5108,157,1,1,https://katalon-demo-cura.herokuapp.com/,304,0,0
1752381674632,711,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8131,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,711,0,0
1752381676301,306,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,851,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,306,0,0
1752381677483,806,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,806,0,0
1752381679198,361,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7463,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,361,0,0
1752381680432,303,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5104,157,1,1,https://katalon-demo-cura.herokuapp.com/,303,0,0
1752381681427,321,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8135,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,321,0,0
1752381682579,303,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,847,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,302,0,0
1752381683531,733,3. 2 Login Redirect,200,OK,Thread Group 1-1,text,true,,9082,950,1,1,https://katalon-demo-cura.herokuapp.com/#appointment,733,0,0
1752381684789,355,4. Book Appointment,200,OK,Thread Group 1-1,text,true,,7471,1100,1,1,https://katalon-demo-cura.herokuapp.com/appointment.php,355,0,0
1752381686033,305,1. Rirect Home Page,200,OK,Thread Group 1-1,text,true,,5100,157,1,1,https://katalon-demo-cura.herokuapp.com/,305,0,0
1752381687016,308,2. Click on Make Appoinment,200,OK,Thread Group 1-1,text,true,,8127,732,1,1,https://katalon-demo-cura.herokuapp.com/profile.php,308,0,0
1752381687915,303,3.1 Input Username - Password,302,Found,Thread Group 1-1,text,true,,843,1032,1,1,https://katalon-demo-cura.herokuapp.com/authenticate.php,303,0,0
